1000000000123456063	410	123456063	113.108.187.154	1662001517	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345602	270	012345602	113.108.187.154	1662001606	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345603	286	012345603	113.108.187.154	1662001670	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345604	317	012345604	113.108.187.154	1662002019	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345604	317	012345604	113.108.187.154	1662002403	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345604	317	012345604	113.108.187.154	1662016439	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345604	317	012345604	113.108.187.154	1662016568	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000000011208	411	11208	60.247.92.114	1662016873	66668	666689902	com.heroesofchaos.koramgame.na	android	
1000000000012345604	317	012345604	113.108.187.154	1662018647	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345604	317	012345604	113.108.187.154	1662018812	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662018957	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662019487	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662020099	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662020269	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662020747	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000002099090131	412	2099090131	113.108.187.154	1662021253	66668	666689902	com.arkgames.rod	android	1662001358265-604101882491771009
1000000000012345602	270	012345602	113.108.187.154	1662029358	66668	666689902	com.arkgames.rod	android	1661751651337-3983041478895100535
